,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,0.399380028248,0.0990547537804,0.632352941176,0.633333333333,0.0046415888336127772,2.1544346900318822e-08,"{'C': 0.0046415888336127772, 'gamma': 2.1544346900318822e-08}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00759250754073,0.00199401384244,0.0,0.0
12,0.398158788681,0.0946584939957,0.632352941176,0.633333333333,0.0046415888336127772,4.6415888336127725e-07,"{'C': 0.0046415888336127772, 'gamma': 4.6415888336127725e-07}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.0118622211053,0.00447318032049,0.0,0.0
13,0.458958089352,0.112046420574,0.632352941176,0.633333333333,0.0046415888336127772,1.0000000000000001e-05,"{'C': 0.0046415888336127772, 'gamma': 1.0000000000000001e-05}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.0121304773837,0.00230432174255,0.0,0.0
14,0.529611289501,0.12984597683,0.632352941176,0.633333333333,0.0046415888336127772,0.00021544346900318823,"{'C': 0.0046415888336127772, 'gamma': 0.00021544346900318823}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.0020392486751,0.00746451971476,0.0,0.0
15,0.527353167534,0.125897526741,0.632352941176,0.633333333333,0.0046415888336127772,0.0046415888336127729,"{'C': 0.0046415888336127772, 'gamma': 0.0046415888336127729}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00455873026109,0.00318383083462,0.0,0.0
16,0.528067231178,0.131471991539,0.632352941176,0.633333333333,0.0046415888336127772,0.10000000000000001,"{'C': 0.0046415888336127772, 'gamma': 0.10000000000000001}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00331578039971,0.00166621763059,0.0,0.0
17,0.516397953033,0.1253464818,0.632352941176,0.633333333333,0.0046415888336127772,2.154434690031878,"{'C': 0.0046415888336127772, 'gamma': 2.154434690031878}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00510305490636,0.00354935635056,0.0,0.0
18,0.525404512882,0.124356031418,0.632352941176,0.633333333333,0.0046415888336127772,46.415888336127729,"{'C': 0.0046415888336127772, 'gamma': 46.415888336127729}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00942166272986,0.00239990286547,0.0,0.0
19,0.526986956596,0.137707769871,0.632352941176,0.633333333333,0.0046415888336127772,1000.0,"{'C': 0.0046415888336127772, 'gamma': 1000.0}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.0150417665635,0.015062125205,0.0,0.0
20,0.387304782867,0.0928762555122,0.632352941176,0.633333333333,0.021544346900318832,1.0000000000000001e-09,"{'C': 0.021544346900318832, 'gamma': 1.0000000000000001e-09}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00447819692498,0.00182931262222,0.0,0.0
